"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"11","cond-mat/9312078v1","1993-12-20 12:26:57","1993-12-20 12:26:57","Dynamics of Nonequilibrium Processes: Surface Adsorption,
  Reaction-Diffusion Kinetics, Ordering and Phase Separation, a short review
  contributed to the book ""Trends in Statistical Physics,""","  This short review covers a wide selection of topics from a multidisciplinary
area of dynamics of nonequilibrium systems in physics, chemistry, biology.
Theoretical models of colloid particle and protein deposition and adhesion at
surfaces, accompanied by relaxation processes, of reaction kinetics with and
without diffusion, of phase coarsening and nucleation, will be surveyed. The
unifying feature of these systems is the importance of fluctuations and
many-body, multiparticle collective effects, in determining the dynamical
behavior which is typically nonclassical.
","Vladimir Privman","","http://arxiv.org/abs/cond-mat/9312078v1","http://arxiv.org/pdf/cond-mat/9312078v1","","9 pages, TeX (plain)","Trends in Statistical Phys. 1, 89-95 (1994)","","cond-mat","cond-mat"
"12","adap-org/9401002v1","1994-01-27 20:09:00","1994-01-27 20:09:00","Learning and Complexity in Genetic Auto-Adaptive Systems","  We describe and investigate the learning capablities displayed by a
population of self-replicating segments of computer-code subject to random
mutation: the tierra environment. We find that learning is achieved through
phase transitions that adapt the population to whichever environment it
encounters, with a learning rate characterized by the environmental variables.
Our results suggest that most effective learning is achieved close to the edge
of chaos.
","Chris Adami","Kellogg Radiation Laboratory, Caltech","http://arxiv.org/abs/adap-org/9401002v1","http://arxiv.org/pdf/adap-org/9401002v1","http://dx.doi.org/10.1016/0167-2789(95)90073-X","27 p., tar-compressed uuencoded postscript incl. figures, subm. to
  ""Complex Systems""","Physica D 80 (1995) 154-170","10.1016/0167-2789(95)90073-X","adap-org","adap-org|nlin.AO|q-bio"
"13","adap-org/9401001v1","1994-01-27 20:09:24","1994-01-27 20:09:24","Self-organized Criticality in Living Systems","  We suggest that ensembles of self-replicating entities such as biological
systems naturally evolve into a self-organized critical state in which
fluctuations, as well as waiting-times between phase transitions are
distributed according to a 1/f power law. We demonstrate these concepts by
analyzing a population of self-replicating strings (segments of computer-code)
subject to mutation and survival of the fittest.
","C. Adami","Kellogg Radiation Laboratory, Caltech","http://arxiv.org/abs/adap-org/9401001v1","http://arxiv.org/pdf/adap-org/9401001v1","http://dx.doi.org/10.1016/0375-9601(95)00372-A","8 p., tar-compressed uuencoded postscript incl. figures, submitted to
  Phys. Rev. Lett","Phys. Lett. A 203 (1995) 29-32","10.1016/0375-9601(95)00372-A","adap-org","adap-org|nlin.AO|q-bio"
"14","cond-mat/9401072v1","1994-01-30 19:11:51","1994-01-30 19:11:51","Statistical Mechanics and Visual Signal Processing","  The nervous system solves a wide variety of problems in signal processing. In
many cases the performance of the nervous system is so good that it apporaches
fundamental physical limits, such as the limits imposed by diffraction and
photon shot noise in vision. In this paper we show how to use the language of
statistical field theory to address and solve problems in signal processing,
that is problems in which one must estimate some aspect of the environment from
the data in an array of sensors. In the field theory formulation the optimal
estimator can be written as an expectation value in an ensemble where the input
data act as external field. Problems at low signal-to-noise ratio can be solved
in perturbation theory, while high signal-to-noise ratios are treated with a
saddle-point approximation. These ideas are illustrated in detail by an example
of visual motion estimation which is chosen to model a problem solved by the
fly's brain. In this problem the optimal estimator has a rich structure,
adapting to various parameters of the environment such as the mean-square
contrast and the correlation time of contrast fluctuations. This structure is
in qualitative accord with existing measurements on motion sensitive neurons in
the fly's brain, and we argue that the adaptive properties of the optimal
estimator may help resolve conlficts among different interpretations of these
data. Finally we propose some crucial direct tests of the adaptive behavior.
","Marc Potters|William Bialek","","http://arxiv.org/abs/cond-mat/9401072v1","http://arxiv.org/pdf/cond-mat/9401072v1","http://dx.doi.org/10.1051/jp1:1994219","34pp, LaTeX, PUPT-1435","J. Phys. I France (1994) 1755-1775","10.1051/jp1:1994219","cond-mat","cond-mat|q-bio"
"15","nucl-th/9402004v1","1994-02-02 19:06:11","1994-02-02 19:06:11","The inverse Laplace transform as the ultimate tool for transverse mass
  spectra","  New high statistics data from the second generation of ultrarelativistic
heavy-ion experiments open up new possibilities in terms of data analysis. To
fully utilize the potential we propose to analyze the $m_\perp$-spectra of
hadrons using the inverse Laplace transform. The problems with its inherent
ill-definedness can be overcome and several applications in other fields like
biology, chemistry or optics have already shown its feasability. Moreover, the
method also promises to deliver upper bounds on the total information content
of the spectra, which is of big importance for all other means of analysis.
Here we compute several Laplace inversions from different thermal scenarios,
both analytically and numerically, to test the efficiency of the method.
Especially the case of a two component structure, related to a possible first
order phase transition to a quark gluon plasma, is closer investigated and it
is shown that at least a signal to noise ratio of $10^4$ is necessary to
resolve two individual components.
","Ekkard Schnedermann","","http://arxiv.org/abs/nucl-th/9402004v1","http://arxiv.org/pdf/nucl-th/9402004v1","http://dx.doi.org/10.1007/BF01557238","13 pages (PostScript, including figures), BNL-NTHES1","Z.Phys. C64 (1994) 85-90","10.1007/BF01557238","nucl-th","nucl-th"
"16","cond-mat/9402076v1","1994-02-19 10:53:51","1994-02-19 10:53:51","A Growth Model for Dna Evolution (submitted to Nature)","  We introduce a simple model for DNA evolution. Using the method of Peng et
al.$^1$, we investigate the fractal properties of the system. For small chains
and chains of intermediate size we find a fractal exponent that indicates the
existence of long-range correlations, as in real DNA sequences. However, when
very large chains are studied the fractal exponent asymptotically converge to
the value of a random sequence. We verify that the mutations are responsible
for the apparent existence of long-range correlations.
","Maria de Sousa Vieira|Hans J. Herrmann","","http://arxiv.org/abs/cond-mat/9402076v1","http://arxiv.org/pdf/cond-mat/9402076v1","","2 pages, plain Tex (one postscript figure available upon request)","","","cond-mat","cond-mat|adap-org|chao-dyn|nlin.AO|nlin.CD|q-bio"
"17","cond-mat/9402096v1","1994-02-22 14:02:08","1994-02-22 14:02:08","Response Functions Improving Performance in Analog Attractor Neural
  Networks","  In the context of attractor neural networks, we study how the equilibrium
analog neural activities, reached by the network dynamics during memory
retrieval, may improve storage performance by reducing the interferences
between the recalled pattern and the other stored ones. We determine a simple
dynamics that stabilizes network states which are highly correlated with the
retrieved pattern, for a number of stored memories that does not exceed
$\alpha_{\star} N$, where $\alpha_{\star}\in[0,0.41]$ depends on the global
activity level in the network and $N$ is the number of neurons.
","Nicolas Brunel|Riccardo Zecchina","","http://arxiv.org/abs/cond-mat/9402096v1","http://arxiv.org/pdf/cond-mat/9402096v1","http://dx.doi.org/10.1103/PhysRevE.49.R1823","13 pages (with figures), LaTex (RevTex), to appear on Phys.Rev.E (RC)","","10.1103/PhysRevE.49.R1823","cond-mat","cond-mat|q-bio"
"18","adap-org/9405002v1","1994-05-16 21:29:01","1994-05-16 21:29:01","On Modelling Life","  We present a theoretical as well as experimental investigation of a
population of self-replicating segments of code subject to random mutation and
survival of the fittest. Under the assumption that such a system constitutes a
minimal system with characteristics of life, we obtain a number of statements
on the evolution of complexity and the trade-off between entropy and
information.
","Chris Adami","Kellogg Radiation Laboratory, Caltech","http://arxiv.org/abs/adap-org/9405002v1","http://arxiv.org/pdf/adap-org/9405002v1","","6 p., postscript with figures (unpack with uufiles), to appear in the
  Proc. of ``Artificial Life IV'', MIT Press","Artificial Life 1 (1995) 429-438","","adap-org","adap-org|nlin.AO|q-bio"
"19","adap-org/9405003v1","1994-05-16 21:29:34","1994-05-16 21:29:34","Evolutionary Learning in the 2D Artificial Life System ""Avida""","  We present a new tierra-inspired artificial life system with local
interactions and two-dimensional geometry, based on an update mechanism akin to
that of 2D cellular automata. We find that the spatial geometry is conducive to
the development of diversity and thus improves adaptive capabilities. We also
demonstrate the adaptive strength of the system by breeding cells with simple
computational abilities, and study the dependence of this adaptability on
mutation rate and population size.
","Chris Adami|C. Titus Brown","Kellogg Radiation Laboratory, Caltech|Kellogg Radiation Laboratory, Caltech","http://arxiv.org/abs/adap-org/9405003v1","http://arxiv.org/pdf/adap-org/9405003v1","","5 p., postscript with figures (unpack with uufiles), to appear in the
  Proc. of ``Artificial Life IV'', MIT Press","","","adap-org","adap-org|nlin.AO|q-bio"
"20","cond-mat/9406071v1","1994-06-16 21:36:25","1994-06-16 21:36:25","Solvent-induced organization: A physical model of folding myoglobin","  The essential features of the in vitro refolding of myoglobin are expressed
in a solvable physical model. Alpha helices are taken as the fundamental
collective coordinates of the system, while the refolding is assumed to be
mainly driven by solvent-induced hydrophobic forces. A quantitative model of
these forces is developed and compared with experimental and theoretical
results. The model is then tested by being employed in a simulation scheme
designed to mimic solvent effects. Realistic dynamic trajectories of myoglobin
are shown as it folds from an extended conformation to a close approximation of
the native state. Various suggestive features of the process are discussed. The
tenets of the model are further tested by folding the single-chain plant
protein leghemoglobin.
","David J. E. Callaway","","http://arxiv.org/abs/cond-mat/9406071v1","http://arxiv.org/pdf/cond-mat/9406071v1","","Rockefeller preprint RU 93-3-B 28 pages, plain LATEX Figures
  available by request to climber@summit.rockefeller.edu","","","cond-mat","cond-mat|chem-ph|hep-lat|q-bio"
"21","adap-org/9406001v1","1994-06-20 19:58:34","1994-06-20 19:58:34","Study of a New Neuron","  We study a modular neuron alternative to the McCulloch-Pitts neuron that
arises naturally in analog devices in which the neuron inputs are represented
as coherent oscillatory wave signals. Although the modular neuron can compute
$XOR$ at the one neuron level, it is still characterized by the same
Vapnik-Chervonenkis dimension as the standard neuron. We give the formulas
needed for constructing networks using the new neuron and training them using
back-propagation. A numerical study of the modular neuron on two data sets is
presented, which demonstrates that the new neuron performs at least as well as
the standard neuron.
","S. L. Adler|G. V. Bhanot|J. D. Weckel","","http://arxiv.org/abs/adap-org/9406001v1","http://arxiv.org/pdf/adap-org/9406001v1","","19 pages, 7 figures(not included) available upon request, postscript
  file","","","adap-org","adap-org|nlin.AO|q-bio"
"22","adap-org/9407002v1","1994-07-11 10:49:02","1994-07-11 10:49:02","Dynamics of a stochastically driven running sandpile","  We analyze in detail a one-dimensional stochastically driven running
sandpile. The dynamics shows three different phases, depending on the on-site
relaxation rate and stochastic driving rate. Two phases are characterized by
the presence of travelling waves. The third shows algebraic relaxation.
","T. Becker|H. de Vries|B. Eckhardt","Institut fuer Chemie und Biologie des Meeres and Fachbereich Physik der C.v. Ossietzky Universitaet, Oldenburg, Germany|Institut fuer Chemie und Biologie des Meeres and Fachbereich Physik der C.v. Ossietzky Universitaet, Oldenburg, Germany|Institut fuer Chemie und Biologie des Meeres and Fachbereich Physik der C.v. Ossietzky Universitaet, Oldenburg, Germany","http://arxiv.org/abs/adap-org/9407002v1","http://arxiv.org/pdf/adap-org/9407002v1","http://dx.doi.org/10.1007/BF01208378","19 pages PostScript; use uudecode and uncompress. 12 PostScript
  figures available by anonymous
  ftp://hpa.icbm.uni-oldenburg.de/dist/papers/sandpile/ . Comments and requests
  to becker@icbm.uni-oldenburg.de","","10.1007/BF01208378","adap-org","adap-org|nlin.AO"
"23","cond-mat/9407107v1","1994-07-27 21:55:17","1994-07-27 21:55:17","Nonlinear Localized Excitations and the Dynamics of H-Bonds in DNA","  We analyze typical models which intend to describe (parts of) the dynamics of
H-Bonds in DNA. We show that these models generically allow for nonlinear
localized excitatons (NLEs) (discrete breathers). We especially study the
scattering of phonons by NLEs and observe strong reflection of phonons by the
NLE. We relate our results to the problem of functioning of a complex
biomolecule, e.g. the DNA.
","S. Flach|C. R. Willis","","http://arxiv.org/abs/cond-mat/9407107v1","http://arxiv.org/pdf/cond-mat/9407107v1","","Talk presented at workshop NONLINEAR EXCITATIONS IN BIOMOLECULES Les
  Houches 1994, to appear in Springer/Editions de Physique; 11 pages, uuencoded
  compressed ps-file (first uudecode, then uncompress the file lh.ps.Z) size
  170KByte","","","cond-mat","cond-mat|q-bio"
"24","cond-mat/9407110v1","1994-07-28 11:08:01","1994-07-28 11:08:01","Protein-Machine model of a single enzymatic reaction","  The theory of biochemical processes needs simple but realistic models of
phenomena underlying microscopic dynamics of proteins. Many experiments
performed in the 1980s have demonstrated that within the protein native state,
apart from usual vibrational dynamics, a rich interconformational (activated)
dynamics exists. The slowness of this dynamics makes any conventional theory of
chemical reactions inapplicable for description of enzymatic reactions. It is
presumably a rule that it is the process of conformational relaxation, and not
the details of chemical mechanism, that affects their rate. In a simple model
of Protein-Machine type, applied in constructing a novel theory of enzymatic
reaction, conformational dynamics is treated as a realative quasi-continuous
motion of solid-like structural elements of protein. Simple and tractable
formulas for the chemical relaxation time and the enzyme turnover number in the
steady state conditions are found. The important result obtained is that the
kinetic mechanisms close to and far from the equilibrium can differ.
","Michal Kurzynski","","http://arxiv.org/abs/cond-mat/9407110v1","http://arxiv.org/pdf/cond-mat/9407110v1","","10 pages, Latex (4 figures available on request by post)","","","cond-mat","cond-mat|q-bio"
"25","chao-dyn/9408002v2","1994-08-10 06:55:15","1994-08-12 10:08:56","Weakly Chaotic Population Dynamics in Random Ecological Networks","  Population dynamics in random ecological networks are investigated by
analyzing a simple deterministic equation. It is found that a sequence of
abrupt changes of populations punctuating quiescent states characterize the
long time behavior. An asymptotic analysis is developed by introducing a
log-scaled time, and it is shown that such a dynamical process behaves as
non-steady weak chaos in which population disturbances grow algebraically in
time. Also, some relevance of our study to taxonomic data of biological
extinction is mentioned.
","Shin-ichi Sasa|Tsuyoshi Chawanya","Department of physics, Kyoto University, Kyoto 606, Japan; Address as of Aug. 16, 1994: Department of Pure and Applied Sciences,College of Arts and Sciences, University of Tokyo,Komaba, Meguro-ku, Tokyo 153, Japan|Yukawa Institute for Theoretical Physics, Kyoto 606, Japan","http://arxiv.org/abs/chao-dyn/9408002v2","http://arxiv.org/pdf/chao-dyn/9408002v2","","10 pages (Revtex) + 4 figures (postscript)","","","chao-dyn","chao-dyn|nlin.CD|q-bio"
"26","cond-mat/9409074v1","1994-09-16 19:24:30","1994-09-16 19:24:30","Criticality in Simple Models of Evolution","  We consider two, apparently similar, models of biological evolution which
have been claimed to exhibit self-organized critical behaviour. A careful
reanalysis of these models, including several new analytic results for one of
them, suggests that they are qualitatively different. We demonstrate the
limitations of the mean field description of these systems. We argue that a
more precise definition of self-organized criticality is desirable and
establish several criteria in this connection.
","Jan de Boer|A. D. Jackson|Tilo Wettig","","http://arxiv.org/abs/cond-mat/9409074v1","http://arxiv.org/pdf/cond-mat/9409074v1","http://dx.doi.org/10.1103/PhysRevE.51.1059","RevTeX, 21 pages + 4 postscript figures (appended as .tar.gz.uu file)
  preprint numbers SUNY-NTG-94-45, ITP-SB-94-32","","10.1103/PhysRevE.51.1059","cond-mat","cond-mat|q-bio"
"27","adap-org/9410004v1","1994-10-20 14:30:20","1994-10-20 14:30:20","Mass-extinction: Evolution and the effects of external influences on
  unfit species","  We present a new model for extinction in which species evolve in bursts or
`avalanches', during which they become on average more susceptible to
environmental stresses such as harsh climates and so are more easily rendered
extinct. Results of simulations and analytic calculations using our model show
a power-law distribution of extinction sizes which is in reasonable agreement
with fossil data. e also see a number of features qualitatively similar to
those seen in the fossil record. For example, we see frequent smaller
extinctions in the wake of a large mass extinction, which arise because there
is reduced competition for resources in the aftermath of a large extinction
event, so that species which would not normally be able to compete can get a
foothold, but only until the next cold winter or bad attack of the flu comes
along to wipe them out.
","M. E. J. Newman|B. W. Roberts","Cornell Theory Center, Cornell University|LASSP, Cornell University","http://arxiv.org/abs/adap-org/9410004v1","http://arxiv.org/pdf/adap-org/9410004v1","","7 pages of compressed, uuencoded PostScript with imbedded figures","Proc. R. Soc. London B 260, 31 (1995)","","adap-org","adap-org|nlin.AO|q-bio"
"28","cond-mat/9411001v1","1994-11-01 01:08:17","1994-11-01 01:08:17","Self-organized Critical Model Of Biological Evolution","  A punctuated equilibrium model of biological evolution with relative fitness
between different species being the fundamental driving force of evolution is
introduced. Mutation is modeled as a fitness updating cellular automaton
process where the change in fitness after mutation follows a Gaussian
distribution with mean $x>0$ and standard deviation $\sigma$. Scaling behaviors
are observed in our numerical simulation, indicating that the model is
self-organized critical. Besides, the numerical experiment suggests that models
with different $x$ and $\sigma$ belong to the same universality class. PACS
numbers: 87.10.+e, 05.40.+j
","H. F. Chau|L. Mak|P. K. Kwok","Dept of Phys, U of Illinois & School of Nat. Sci., Inst. for Adv. Study|Coordinated Sci. Lab., U of Illinois|Dept of Math.,U of Illinois","http://arxiv.org/abs/cond-mat/9411001v1","http://arxiv.org/pdf/cond-mat/9411001v1","http://dx.doi.org/10.1016/0378-4371(95)00027-5","8 pages in REVTEX 3.0 with 4 figures (Figures available on request by
  sending e-mail to chau@guinness.ias.edu)","","10.1016/0378-4371(95)00027-5","cond-mat","cond-mat|q-bio"
"29","hep-lat/9411059v1","1994-11-28 12:26:32","1994-11-28 12:26:32","Gauge theory of things alive and universal dynamics","  Positing complex adaptive systems made of agents with relations between them
that can be composed, it follows that they can be described by gauge theories
similar to elementary particle theory and general relativity. By definition, a
universal dynamics is able to determine the time development of any such system
without need for further specification. The possibilities are limited, but one
of them - reproduction fork dynamics - describes DNA replication and is the
basis of biological life on earth. It is a universal copy machine and a
renormalization group fixed point. A universal equation of motion in continuous
time is also presented.
","G. Mack","","http://arxiv.org/abs/hep-lat/9411059v1","http://arxiv.org/pdf/hep-lat/9411059v1","","13 pages, latex, uses fleqn.sty (can be removed without harm)","","","hep-lat","hep-lat|chao-dyn|cond-mat|gr-qc|hep-ph|hep-th|nlin.CD|q-bio"
"30","adap-org/9411003v1","1994-11-30 11:22:32","1994-11-30 11:22:32","An Evolutionary Approach to Associative Memory in Recurrent Neural
  Networks","  In this paper, we investigate the associative memory in recurrent neural
networks, based on the model of evolving neural networks proposed by Nolfi,
Miglino and Parisi. Experimentally developed network has highly asymmetric
synaptic weights and dilute connections, quite different from those of the
Hopfield model. Some results on the effect of learning efficiency on the
evolution are also presented.
","Sh. Fujita|H. Nishimura","Kobe University|Hyogo University of Education","http://arxiv.org/abs/adap-org/9411003v1","http://arxiv.org/pdf/adap-org/9411003v1","","7 pages, compressed and uuencoded postscript file","","","adap-org","adap-org|nlin.AO|q-bio"
