veh_value,exposure,clm,numclaims,claimsize,veh_body,veh_age,gender,area,agecat,valcat
3.59,.884325804239779,1,1,231.960000038147,SEDAN,4,F,A,4,2
1.11,.906228610539983,1,1,200,HBACK,3,F,A,6,1
1.14,.911704312107759,1,2,1043.69999885559,SEDAN,3,F,C,4,1
1.64,.908966461327509,1,1,1114.18999862671,HBACK,2,F,C,4,1
2.35,.903490759752458,1,1,200,SEDAN,2,M,C,2,1
1.29,.908966461327509,1,1,1753.88999938965,SEDAN,3,F,E,6,1
1.65,.695414099929224,1,1,11469.0899963379,STNWG,4,M,F,1,1
1.99,.903490759751548,1,1,200.000011086464,STNWG,2,M,B,3,1
1.04,.71731690622255,1,1,200,HBACK,2,F,C,4,1
1.63,.640657084186387,1,2,1255.53999710083,SEDAN,2,F,A,3,1
3.76,.848733744009223,1,1,623.449999809265,UTE,1,F,C,2,2
1.82,.766598220390733,1,1,361.989999771118,HBACK,2,F,B,3,1
.89,.752908966460382,1,1,931.329999923706,HBACK,3,F,B,4,1
.54,.848733744009223,1,1,389.949999809265,HBACK,4,F,D,3,1
6.359,.777549623540835,1,1,200,STNWG,1,M,C,4,3
1.26,.695414099929621,1,1,498.349999427795,STNWG,3,F,B,2,1
1.1,.687200547567045,1,2,400,SEDAN,4,F,B,2,1
.71,.355920602323749,1,1,353.769999980927,HBACK,4,F,D,1,1
2.27,.145106091717025,1,1,200,SEDAN,1,F,C,2,1
1.1,.342231348389362,1,1,3070.86999511719,SEDAN,3,F,B,4,1
1.24,.402464065707647,1,1,200,HBACK,3,M,A,5,1
1.13,.854209445584274,1,1,389.949999809265,SEDAN,3,F,E,2,1
.46,.903490759752458,1,1,265,SEDAN,4,M,B,3,1
1.3,.903490759752458,1,1,620.209999084473,SEDAN,3,F,A,6,1
1.47,.522929500337341,1,1,461.249998092651,SEDAN,2,F,D,6,1
1.51,.903490759752458,1,1,3682.32999420166,STNWG,4,F,E,3,1
1.42,.922655715257861,1,1,6110.97999572754,SEDAN,3,F,C,4,1
1.53,.509240246399713,1,1,2458.32999420166,PANVN,2,F,C,3,1
1.66,.221765913757281,1,1,353.799999713898,UTE,4,M,C,2,1
1.43,.213552361396069,1,1,391.30999994278,SEDAN,2,F,A,1,1
1.81,.91718001368281,1,1,782.409999847412,SEDAN,2,F,B,3,1
1.26,.900752908964932,1,1,5188.31999206543,HBACK,2,M,C,6,1
3.4,.0109514031484537,1,1,20890.5799560547,STNWG,2,M,F,1,2
1.78,.922655715257861,1,1,200,HBACK,2,F,B,5,1
2.9,.845995893221698,1,1,270.739999771118,SEDAN,1,F,C,5,2
4.27,.900752908964932,1,1,200,STNWG,2,F,C,5,2
3.35,.331279945242898,1,1,389.949999809265,TRUCK,2,F,F,2,2
3.3,.793976728265989,1,1,785.039999008179,SEDAN,1,F,D,4,2
.44,.616016427098259,1,1,1438.26999664307,HBACK,4,M,D,3,1
3.33,.659822039694518,1,1,1180.109998703,STNWG,3,F,B,3,2
1.19,.744695414097407,1,1,1134,SEDAN,3,F,A,2,1
1.37,.900752908964932,1,1,200,HBACK,1,M,A,2,1
2.06,.243668720053392,1,1,2087.7799987793,STNWG,3,M,E,2,1
1.54,.845995893221698,1,2,400.009994506836,HBACK,2,F,C,1,1
.73,.331279945242898,1,1,200,HBACK,3,F,C,4,1
1.49,.514715947980449,1,1,1630.54999923706,HBACK,1,F,A,5,1
4.73,.525667351124468,1,2,1642.67999649048,STNWG,1,M,E,2,2
1.36,.900752908964932,1,1,696.209999084473,SEDAN,3,F,A,6,1
3.549,.911704312113443,1,1,542.64999961853,STNWG,1,M,B,6,2
2.63,.900752908964932,1,1,3361.72999572754,SEDAN,1,M,D,5,2
1.11,.900752908964932,1,1,507.839999198914,HBACK,3,F,D,4,1
2.22,.900752908964932,1,1,367.729999542236,SEDAN,1,F,C,4,1
.99,.900752908964932,1,1,820.789999008179,SEDAN,4,M,A,5,1
2.2,.79945242984104,1,1,1244.15999984741,HBACK,1,F,B,6,1
3.17,.900752908964932,1,1,512,TRUCK,3,M,E,5,2
1.49,.900752908963113,1,1,353.799999713898,UTE,4,M,C,1,1
1.67,.755646817247907,1,1,200,HBACK,3,F,C,2,1
3.94,.583162217655627,1,1,480,STNWG,2,F,D,4,2
3.3,.796714579053514,1,1,1864.08999633789,UTE,2,M,E,1,2
1.29,.695414099929621,1,1,635.099999427795,SEDAN,3,M,C,3,1
2.12,.845995893221698,1,1,3682.25,STNWG,3,F,E,3,1
.81,.744695414097407,1,1,367.729999542236,HBACK,3,M,C,3,1
2.76,.695414099929621,1,1,4460.76998901367,STNWG,2,F,B,3,2
2.74,.145106091716627,1,1,24718.1799926758,STNWG,3,M,C,2,2
3.12,.219028062969301,1,1,200,SEDAN,3,F,B,2,2
.67,.898015058177407,1,1,523.539999961853,SEDAN,4,F,C,6,1
.92,.845995893221698,1,1,200,HBACK,3,F,A,3,1
1.86,.919917864470335,1,1,403.629999637604,SEDAN,2,F,A,6,1
3.66,.281998631071076,1,1,518.179999351501,STNWG,3,F,F,3,2
4.7,.845995893221698,1,1,353.769999980927,STNWG,1,M,A,5,2
.91,.210814510608543,1,1,286.379999160767,STNWG,3,F,A,4,1
1.51,.780287474328361,1,1,4791.47999572754,SEDAN,3,F,B,1,1
1.44,.511978097187239,1,1,369.14999961853,STNWG,4,F,A,2,1
.74,.898015058177407,1,1,2814.58999633789,SEDAN,4,M,A,2,1
1.18,.898015058177407,1,1,200,SEDAN,3,F,A,4,1
1.38,.63244353182381,1,1,200,SEDAN,3,M,C,4,1
1.05,.0985626283359693,1,1,8870.71997070313,SEDAN,3,F,C,5,1
.65,.635181382609517,1,1,200,SEDAN,4,F,E,4,1
2.76,.588637919229768,1,1,200,STNWG,1,F,A,3,2
1.59,.216290212181775,1,1,930.809997558594,UTE,2,M,B,2,1
.89,.783025325115887,1,1,353.799999713898,TRUCK,4,M,C,3,1
.98,.0629705681039923,1,1,200,SEDAN,3,M,C,1,1
2.01,.624229979461234,1,1,1417.27272415161,PANVN,2,M,C,3,1
2.75,.114989733058792,1,1,200,STNWG,1,F,D,1,2
.85,.898015058177407,1,1,1683.7799987793,HBACK,3,F,B,1,1
1.26,.91718001368281,1,1,342.640003204346,HBACK,2,F,C,2,1
.6,.509240246399713,1,1,1820.33999633789,HBACK,4,F,E,1,1
4.349,.290212183434051,1,1,2246.02299880981,UTE,1,F,E,1,2
1.03,.895277207386243,1,1,200,HBACK,4,F,D,3,1
1.74,.50924024640517,1,1,200,STNWG,4,M,C,2,1
1.54,.301163586584153,1,1,200,SEDAN,2,M,E,2,1
1.01,.509240246399713,1,2,21769.6536102295,HBACK,2,F,D,2,1
1.56,.709103353859973,1,1,1265.44999694824,HBACK,2,M,A,3,1
1.13,.613278576311131,1,1,1656.42999649048,SEDAN,3,M,C,4,1
1.95,.610540725523606,1,1,470.109998703003,STNWG,3,M,D,4,1
1.8,.613278576311131,1,3,4076.8199968338,SEDAN,2,M,B,6,1
.43,.698151950717147,1,1,420,SEDAN,4,F,B,2,1
.76,.610540725523606,1,1,1426.00999832153,HBACK,3,F,C,5,1
3.18,.388774811770418,1,2,2212.68999814987,STNWG,2,F,A,5,2
2.61,.386036960982892,1,1,200,STNWG,2,F,A,4,2
2.11,.509240246399713,1,1,353.769999980927,SEDAN,2,M,C,2,1
1.97,.268309377136802,1,1,200,SEDAN,2,F,C,4,1
1.48,.235455167692237,1,1,9278.85998535156,HBACK,1,M,D,1,1
1.4,.91718001368281,1,1,200,SEDAN,3,F,C,3,1
.84,.591375770018203,1,1,2669.83999633789,HBACK,3,M,C,5,1
1.35,.50650239561719,1,1,200,SEDAN,3,M,C,2,1
.34,.216290212183196,1,1,640.727272033691,HBACK,4,F,A,4,1
1.45,.991101984938723,1,1,390,UTE,4,M,E,1,1
1.23,.506502395612188,1,1,3105.69999694824,HBACK,2,F,D,2,1
3.85,.216290212181775,1,1,1747.43999862671,STNWG,1,F,C,3,2
2.12,.60780287473608,1,1,567.14999961853,SEDAN,1,F,D,3,1
.68,.60780287473608,1,1,200,HBACK,4,F,C,5,1
2.45,.213552361396069,1,1,909.64999961853,SEDAN,1,M,C,6,1
1.39,.0602327173165236,1,1,200,HBACK,1,M,A,6,1
2.33,.591375770018203,1,1,401.049999713898,STNWG,2,F,A,4,1
1.99,.407939767279458,1,1,450.049999713898,SEDAN,2,F,E,3,1
2.33,.662559890478917,1,1,200,STNWG,3,F,F,3,1
.93,.837782340857984,1,1,3744.53999328613,SEDAN,3,F,C,3,1
.79,.889801505811192,1,1,1084.7799987793,HBACK,4,M,B,2,1
1.24,.837782340859121,1,1,389.949999809265,HBACK,2,F,F,1,1
.92,.837782340859121,1,1,372.269999980927,HBACK,3,F,D,4,1
1.18,.837782340859121,1,1,438.5,TRUCK,4,M,B,5,1
1.21,.298425735796627,1,1,200,COUPE,4,M,B,3,1
.9,.881587953448616,1,1,683,HBACK,3,F,A,3,1
2.16,.506502395612188,1,1,200,HBACK,1,F,B,2,1
1.28,.785763175903412,1,1,1454.0299987793,SEDAN,3,F,B,4,1
1.65,.807665982203616,1,1,200,SEDAN,3,M,B,3,1
3.63,.506502395616735,1,1,404.545454502106,STNWG,2,F,D,5,2
3.57,.835044490071596,1,1,200,UTE,1,M,A,2,2
1.19,.88980150581483,1,1,567.949999809265,STNWG,4,M,B,4,1
3.45,.914442162895284,1,1,1347.32999801636,HDTOP,2,M,F,4,2
1.02,.39972621492052,1,1,200,SEDAN,4,M,C,4,1
1.23,.785763175903412,1,1,353.769999980927,HBACK,2,F,C,2,1
4.25,.396988364132994,1,1,353.769999980927,STNWG,2,M,B,4,2
1.349,.506502395612188,1,1,200,HBACK,1,F,B,1,1
1.99,.396988364132994,1,1,359.5,STNWG,4,M,A,3,1
1.67,.295687885009102,1,1,200,HBACK,2,F,C,3,1
1.08,.213552361396069,1,1,2370.98999786377,HBACK,3,F,C,4,1
1.17,.506502395612188,1,1,200,SEDAN,3,F,A,5,1
4.58,.257357973987382,1,2,1875.13999938965,STNWG,1,M,D,2,2
.65,.506502395612188,1,1,200,SEDAN,4,M,C,2,1
.79,.394250513345469,1,1,353.769999980927,HBACK,3,F,C,1,1
1.55,.503764544831938,1,1,2434.60999298096,HBACK,1,F,C,5,1
.39,.396988364132994,1,1,359.5,STNWG,4,F,C,4,1
.95,.602327173168305,1,1,200,SEDAN,4,M,C,4,1
.83,.602327173168305,1,1,2326.44999694824,STNWG,4,M,D,2,1
2.61,.602327173161939,1,1,376.629999637604,STNWG,4,F,E,5,2
1.29,.0574948665293959,1,1,353.769999980927,HDTOP,4,F,C,1,1
2.33,.605065023949919,1,1,3563.40999603271,UTE,2,M,C,6,1
.39,.506502395612188,1,1,390,SEDAN,4,F,C,4,1
1.21,.59958932238078,1,1,1702.75999832153,HBACK,2,F,D,1,1
.9,.506502395612188,1,1,377.849999904633,UTE,4,F,B,2,1
2.18,.506502395612188,1,1,748.449998855591,SEDAN,2,M,C,4,1
.74,.39972621492052,1,1,947.75,HBACK,4,F,B,5,1
.97,.39972621492052,1,1,1657.94999694824,SEDAN,3,F,C,4,1
1.29,.284736481858602,1,1,9806.50994873047,STNWG,4,F,F,4,1
1.66,.336755646814311,1,1,13172.7299804688,STNWG,4,F,F,4,1
1.428,.654346338120376,1,1,200,HBACK,1,M,A,4,1
3.4,.602327173168305,1,1,345,UTE,1,M,B,5,2
1.74,.396988364132994,1,1,579.319999694824,SEDAN,1,M,B,2,1
1.73,.629705681036285,1,1,200,SEDAN,2,F,C,4,1
1.45,.862422997946453,1,1,1210.94999885559,SEDAN,3,F,F,5,1
2.79,.410677618066984,1,1,1532.92999649048,STNWG,2,M,F,3,2
2.54,.914442162898922,1,1,1335.81999969482,TRUCK,3,M,D,2,2
2.43,.835044490071596,1,1,5823.94999694824,SEDAN,1,M,B,2,1
3.28,.832306639282251,1,1,372.269999980927,STNWG,1,M,B,3,2
1.44,.629705681036285,1,1,2418.80999755859,UTE,4,M,F,5,1
1.73,.629705681036285,1,1,3931.25,HBACK,2,F,E,6,1
.86,.835044490071596,1,1,272.090000152588,SEDAN,4,F,A,3,1
1.42,.766598220390733,1,1,200,SEDAN,3,M,A,3,1
2.999,.835044490071596,1,1,200,STNWG,1,M,D,1,2
4.85,.112251882272176,1,1,1957.22999954224,STNWG,2,M,B,4,2
.84,.164271047227487,1,1,7796.36999511719,HBACK,3,F,C,2,1
.99,.766598220390733,1,1,353.769999980927,HBACK,3,F,C,2,1
1.61,.295687885009102,1,1,353.769999980927,HBACK,2,F,B,3,1
2.44,.884325804239779,1,1,1659.37999725342,SEDAN,1,M,A,6,1
1.09,.323066392880321,1,1,3725.46182250977,STNWG,3,M,C,6,1
1.08,.898015058173769,1,1,834.529998779297,SEDAN,3,F,C,6,1
5.813,.999315537294933,1,1,200,STNWG,1,F,B,3,3
1.63,.898015058177407,1,1,1544.08999633789,HDTOP,3,F,B,3,1
1.01,.898015058177407,1,1,353.769999980927,HBACK,3,F,C,3,1
1.98,.898015058177407,1,1,1020.55999946594,STNWG,4,M,C,4,1
.92,.476386036959923,1,1,1449.14363479614,HBACK,4,M,C,3,1
1.559,.791238877478463,1,1,393.799999713898,HBACK,1,F,C,1,1
4.11,.887063655023667,1,1,837.199998855591,STNWG,1,F,F,1,2
1.59,.626967830248759,1,1,696.479999542236,SEDAN,3,M,A,4,1
2.41,.8569472963718,1,1,385.089999198914,STNWG,3,M,A,5,1
1.28,.139630390141974,1,1,4057.80999755859,STNWG,4,F,C,5,1
1.86,.8569472963718,1,1,882.099998474121,HBACK,1,M,A,5,1
1.89,.859685147159325,1,1,1785.73999786377,SEDAN,2,F,D,4,1
1.1,.856947296364524,1,1,353.769999980927,SEDAN,3,F,C,3,1
1.82,.780287474328361,1,1,1211.34999847412,STNWG,2,M,C,4,1
3.32,.503764544831938,1,2,959.41999912262,STNWG,1,F,C,5,2
2.23,.1423682409295,1,1,1176.80999946594,SEDAN,1,F,B,4,1
1.6,.859685147159325,1,1,721.259998321533,HBACK,3,F,A,4,1
1.56,.271047227924612,1,1,252.389999389648,HDTOP,4,M,D,2,1
1.12,.8569472963718,1,1,221,HBACK,3,M,C,4,1
2.29,.443531827514164,1,1,2311.18999481201,STNWG,3,F,E,3,1
1.09,.788501026690938,1,1,861.159999847412,SEDAN,4,F,A,2,1
2.2,.769336071178259,1,1,1235.36999893188,STNWG,2,M,C,2,1
2.68,.884325804239779,1,1,200,SEDAN,1,F,E,4,2
2.5,.832306639280432,1,1,870.129999160767,HDTOP,1,F,C,4,1
2.3,.208076659821018,1,1,2287.70999908447,STNWG,3,F,A,3,1
2.34,.772073921965784,1,2,1987.79999923706,MIBUS,4,F,E,4,1
1.41,.490075290893401,1,1,3442.46363067627,SEDAN,2,F,A,1,1
3.22,.999315537294024,1,2,3608.17999839783,UTE,2,F,C,1,2
2.38,.829568788496545,1,1,1076.14999961853,STNWG,3,F,B,3,1
.58,.134154688568742,1,1,3663.40999603271,COUPE,4,F,A,6,1
1.61,.895277207389881,1,1,233.269999504089,SEDAN,2,M,C,5,1
1.23,.895277207389881,1,1,1140.18999862671,HBACK,2,F,A,5,1
.44,.83230663928407,1,1,2438.57999420166,HBACK,4,F,C,2,1
1.3,.714579055435024,1,1,200,HBACK,2,F,A,1,1
3.06,.832306639284525,1,1,389.949999809265,STNWG,3,M,D,2,2
1.14,.906228610539983,1,2,2701.21999740601,UTE,4,M,C,4,1
1.06,.265571526349561,1,1,353.769999980927,HBACK,4,F,C,2,1
.88,.394250513345469,1,1,616.809999465942,SEDAN,3,F,D,6,1
5.27,.394250513345924,1,1,250,STNWG,2,F,D,6,3
1.78,.394250513345469,1,1,1522.21999740601,SEDAN,2,F,C,4,1
1.65,.605065023955831,1,1,4795.48999023438,SEDAN,2,F,B,3,1
2.13,.394250513344559,1,1,200,SEDAN,2,F,C,6,1
.81,.43258042436679,1,1,7195.77998352051,HBACK,4,F,D,2,1
2.66,.865160848727101,1,1,887.389999389648,STNWG,3,M,A,5,2
2.66,.287474332646525,1,1,1233.46999740601,STNWG,2,M,B,3,2
4.8,.865160848727101,1,1,353.799999713898,HDTOP,1,M,A,1,2
2.36,.925393566043113,1,1,462.25,STNWG,3,F,C,2,1
.71,.906228610536346,1,1,727.169998168945,SEDAN,4,M,D,3,1
1.8,.906228610539983,1,1,200,STNWG,2,F,A,5,1
4.71,.999315537300959,1,1,200,STNWG,1,F,D,6,2
1.13,.243668720052995,1,1,408.129999637604,SEDAN,3,F,A,1,1
2.24,.807665982199069,1,1,200,STNWG,3,M,B,2,1
1.29,.440793976726127,1,1,404.545454502106,STNWG,4,F,F,3,1
1.31,.881587953452254,1,1,200,HBACK,1,M,A,5,1
1.25,.829568788496545,1,1,482.89999961853,STNWG,4,M,D,4,1
.4,.829568788496545,1,1,384.5,STNWG,4,M,B,3,1
4.42,.501026694044413,1,1,1349.93999862671,TRUCK,1,M,D,4,2
5.14,.815879534558917,1,1,390,STNWG,1,F,B,2,3
2.65,.703627652292198,1,1,810.64999961853,SEDAN,2,F,C,4,2
.73,.131416837781217,1,1,353.139999866486,STNWG,4,M,A,4,1
1.24,.82956878849609,1,1,508.119999885559,HBACK,2,F,B,4,1
1.22,.999315537297662,1,1,472,HBACK,3,F,C,4,1
.64,.772073921965784,1,1,200,HBACK,4,M,D,2,1
1.04,.698151950717147,1,1,353.769999980927,HBACK,2,F,E,4,1
.62,.320328542093193,1,1,4368.29998779297,UTE,4,M,A,1,1
3.2,.298425735796627,1,1,490.819999694824,STNWG,3,F,F,3,2
.71,.629705681036285,1,1,271.729999542236,STNWG,4,F,A,2,1
3.98,.684462696779519,1,1,1328.67999649048,STNWG,2,M,F,4,2
1.26,.829568788496545,1,1,353.769999980927,HBACK,2,F,A,1,1
1.47,.77481177275331,1,1,200,UTE,4,M,C,3,1
1.82,.596851471593254,1,1,1358.10999679565,HBACK,2,M,D,6,1
1.6,.596851471593254,1,1,3690.28999328613,SEDAN,2,F,D,3,1
2.01,.596851471593254,1,1,908.389999389648,HBACK,1,M,C,3,1
2.76,.0903490759747001,1,1,480,SEDAN,1,M,D,6,2
1.05,.596851471593254,1,1,9301.84997558594,PANVN,4,M,A,3,1
3.29,.802190280628565,1,1,3159.5299987793,STNWG,1,M,B,5,2
1.52,.878850102664728,1,1,404.309997558594,SEDAN,2,M,A,2,1
1.2,.435318275152497,1,2,968.329999923706,SEDAN,3,M,C,3,1
1.89,.881587953452254,1,1,4767.10998535156,SEDAN,2,F,E,4,1
1.02,.4928131416832,1,1,353.769999980927,HBACK,3,M,A,3,1
2.77,.922655715257861,1,1,353.769999980927,STNWG,1,F,C,2,2
.71,.826830937712202,1,1,353.769999980927,STNWG,4,F,C,2,1
1.6,.284736481858999,1,1,3112.31999969482,UTE,3,M,A,3,1
.98,.714579055435024,1,1,200,HBACK,3,M,C,1,1
.97,.826830937709019,1,2,4108.69999694824,SEDAN,3,F,E,5,1
1.85,.996577686513774,1,1,1251,SEDAN,1,M,B,4,1
1.57,.900752908964932,1,1,200,HBACK,2,F,B,6,1
1.15,.826830937709019,1,1,1502.04999923706,SEDAN,3,M,A,6,1
4.64,.383299110195367,1,1,1827.63999938965,STNWG,1,F,B,2,2
.54,.492813141681836,1,1,644.549999237061,COUPE,4,M,C,2,1
2.9,.826830937709019,1,1,600.589999198914,SEDAN,1,F,C,5,2
3.47,.386036960982892,1,1,769.009998321533,STNWG,1,F,C,3,2
3.91,.536618754274969,1,1,3575.17999267578,UTE,1,M,E,3,2
1.18,.900752908961294,1,1,542.25,SEDAN,3,F,B,3,1
.9,.292950034221178,1,1,1182.70999908447,SEDAN,3,M,C,4,1
1.74,.492813141682291,1,1,389.949999809265,STNWG,4,F,F,3,1
2.52,.826830937709019,1,1,345,TRUCK,3,M,B,2,2
.37,.492813141681836,1,1,715.759998321533,UTE,4,M,A,1,1
1.3,.550308008212198,1,1,1240.33999633789,SEDAN,3,F,C,4,1
1.46,.386036960982892,1,1,7160.63999938965,SEDAN,3,F,B,5,1
3.97,.613278576311131,1,1,389.949999809265,STNWG,2,F,E,5,2
.54,.386036960982892,1,1,2655.61999511719,HBACK,4,F,C,3,1
1.73,.490075290892491,1,1,2523.02363586426,HBACK,1,F,A,2,1
.79,.391512662557943,1,1,390,TRUCK,3,F,D,1,1
.84,.826830937707768,1,1,4146.34999847412,HBACK,3,F,C,4,1
2.5,.120465434632933,1,1,1388.96999740601,UTE,3,M,C,4,1
.85,.325804243667847,1,1,7614.79998779297,HBACK,3,F,C,2,1
2.66,.536618754274969,1,1,1730.61999893188,SEDAN,1,M,B,1,2
.78,.824093086921494,1,1,1192.33999824524,STNWG,4,M,A,4,1
1.76,.77481177275331,1,1,2821.90999603271,HBACK,1,F,B,1,1
.6,.898015058177407,1,1,1627.34999847412,SEDAN,4,M,A,4,1
3.74,.492813141681836,1,1,553.64999961853,STNWG,2,M,B,4,2
1.63,.533880903487443,1,1,4927.08999633789,HBACK,1,M,E,4,1
1.42,.876112251877203,1,1,200,SEDAN,3,F,C,3,1
2.96,.616016427102295,1,1,232.800000190735,STNWG,3,M,C,6,2
1.75,.309377138943091,1,1,353.799999713898,STNWG,4,F,F,3,1
.41,.594113620805729,1,1,3087.39999389648,STNWG,4,M,A,4,1
1.2,.594113620805729,1,1,2640.67999267578,SEDAN,4,F,E,4,1
1.03,.594113620805729,1,1,200,HBACK,2,F,E,2,1
.53,.577686516080178,1,1,6183.63562011719,HBACK,4,M,C,6,1
3.39,.594113620805729,1,1,369.14999961853,STNWG,3,M,E,3,2
.65,.325804243668244,1,1,353.769999980927,MIBUS,4,F,C,4,1
.39,.405201916491933,1,1,353.799999713898,PANVN,4,F,C,4,1
1.38,.594113620805729,1,1,200.003635235131,SEDAN,3,M,C,3,1
3.36,.802190280628565,1,1,3852.55999755859,STNWG,2,F,A,3,2
1.399,.618754277888513,1,1,200,HBACK,1,M,B,3,1
1.27,.802190280628565,1,1,480,SEDAN,4,F,E,4,1
1.19,.703627652292198,1,1,5082.7799987793,SEDAN,3,F,C,2,1
1.58,.878850102668366,1,1,353.769999980927,SEDAN,3,M,C,2,1
1.46,.824093086925132,1,1,6814.85998535156,SEDAN,3,M,B,4,1
3.56,.876112251877203,1,1,8624.62997436523,UTE,1,F,A,4,2
.41,.876112251877203,1,1,200,SEDAN,4,F,D,1,1
3.64,.536618754274969,1,1,200,STNWG,1,F,D,4,2
1.35,.0657084188911199,1,1,9552.63995361328,HBACK,2,F,B,2,1
.63,.818617385346442,1,1,8971.7799987793,PANVN,4,M,B,3,1
.71,.358658453110877,1,1,8887.84997558594,SEDAN,4,F,C,3,1
.61,.0219028062968505,1,1,5828.62998962402,SEDAN,4,F,A,5,1
.48,.887063655027305,1,1,200,HBACK,4,M,B,5,1
2,.892539356602356,1,1,329.699999809265,HBACK,1,F,B,6,1
2.43,.88980150581483,1,1,2988.15999603271,SEDAN,1,M,A,6,1
3.749,.659822039695428,1,1,353.769999980927,STNWG,1,M,D,5,2
1.75,.887063655027305,1,1,200,SEDAN,2,F,B,5,1
3.399,.88980150581483,1,1,353.769999980927,STNWG,1,M,B,5,2
4.11,.999315537294024,1,1,870.189998626709,STNWG,2,F,C,2,2
5.27,.481861738531734,1,1,665.069999694824,STNWG,2,M,B,3,3
1.93,.892539356602356,1,1,200,SEDAN,2,M,C,2,1
2.82,.887063655027305,1,1,713.639999389648,STNWG,1,M,C,3,2
1.9,.484599589319942,1,1,6017.64999389648,UTE,2,M,D,2,1
.77,.731006160159779,1,1,6264.44998168945,HBACK,3,F,C,3,1
1.83,.88980150581483,1,1,621.969999313354,SEDAN,2,F,D,3,1
2.14,.528405201912392,1,2,778.039999961853,STNWG,2,M,C,2,1
1.93,.651608487336091,1,2,553.769999980927,SEDAN,2,M,A,4,1
.43,.525667351124468,1,1,200,HBACK,4,M,A,4,1
2.2,.892539356600537,1,1,353.769999980927,STNWG,3,F,D,4,1
.51,.818617385346442,1,1,2626.59999847412,HBACK,4,F,C,1,1
2.2,.613278576314769,1,1,610,HDTOP,3,M,C,4,1
1.57,.889801505813921,1,1,200,HBACK,2,M,A,6,1
2.55,.818617385350763,1,1,357.05999994278,SEDAN,1,M,D,6,2
.59,.892539356602356,1,2,5820.53999328613,SEDAN,4,M,A,2,1
1.37,.887063655027305,1,1,736.939998626709,HBACK,3,M,A,4,1
3.55,.312114989730617,1,1,370,STNWG,3,M,C,3,2
1.59,.194387405885209,1,1,755.859996795654,SEDAN,1,F,A,3,1
.41,.314852840518142,1,1,1391.93999862671,HBACK,4,M,C,5,1
