veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,veh_value_2,valcat
2.61,.251882272415571,0,0,0,STNWG,2,M,B,4,6.8121,2
.93,.536618754274969,0,0,0,COUPE,4,F,A,4,.8649,1
1.49,.405201916491933,0,0,0,HBACK,2,F,C,2,2.2201,1
3.1,.462696783022693,0,0,0,HDTOP,1,F,C,3,9.61,2
1.94,.536618754274969,0,0,0,SEDAN,1,M,A,6,3.7636,1
2.234,.854209445584274,0,0,0,SEDAN,1,M,C,2,4.990756,1
1.62,.854209445576998,0,0,0,SEDAN,2,F,B,4,2.6244,1
2.14,.536618754274969,0,0,0,HDTOP,3,M,D,4,4.5796,1
1.77,.249144421628444,0,0,0,HBACK,2,F,E,1,3.1329,1
4.03,.462696783022693,0,0,0,STNWG,1,M,F,2,16.2409,2
2.65,.0958247775488417,0,0,0,SEDAN,1,F,C,3,7.0225,2
1.13,.30390143737128,0,0,0,STNWG,4,M,A,1,1.2769,1
1.53,.169746748800719,0,0,0,SEDAN,3,F,D,3,2.3409,1
1.05,.906228610539983,0,0,0,HBACK,2,F,F,3,1.1025,1
.88,.536618754274969,0,0,0,COUPE,4,M,B,4,.7744,1
2.9,.854209445578363,0,0,0,STNWG,3,M,B,5,8.41,2
2.67,.536618754276788,0,0,0,HBACK,1,F,A,2,7.1289,2
.83,.344969199177285,0,0,0,SEDAN,4,M,C,5,.6889,1
.7,.249144421628444,0,0,0,SEDAN,4,F,C,1,.49,1
1.15,.906228610539983,0,0,0,STNWG,3,F,A,3,1.3225,1
.99,.317590691305668,0,0,0,HBACK,3,F,B,3,.9801,1
1.75,.971937029426044,0,0,0,SEDAN,2,F,B,2,3.0625,1
2.65,.0958247775488417,0,0,0,SEDAN,1,F,C,3,7.0225,2
4.06,.851471594795839,1,1,5434.43998718262,STNWG,2,M,F,3,16.4836,2
1.39,.317590691305668,1,1,865.789999008179,HBACK,3,F,A,4,1.9321,1
1.19,.906228610539983,0,0,0,HBACK,2,F,B,5,1.4161,1
1.19,.906228610539983,0,0,0,HBACK,2,F,A,1,1.4161,1
.79,.353182751539862,0,0,0,HBACK,3,F,B,2,.6241,1
1.74,.854209445584274,0,0,0,HBACK,2,F,C,3,3.0276,1
.77,.0930869267622256,0,0,0,COUPE,4,M,C,2,.5929,1
2.58,.0301163586582334,0,0,0,HBACK,2,M,A,5,6.6564,2
.79,.0301163586582334,0,0,0,SEDAN,3,F,E,3,.6241,1
1.79,.673511293629417,0,0,0,UTE,4,F,E,3,3.2041,1
1.79,.0465434633811128,0,0,0,HBACK,1,M,C,6,3.2041,1
1.9,.854209445584274,0,0,0,HBACK,1,M,C,1,3.61,1
1.84,.0958247775493533,0,0,0,STNWG,4,M,A,3,3.3856,1
.39,.0301163586582334,0,0,0,HBACK,4,F,B,4,.1521,1
5.39,.0246406570840918,0,0,0,STNWG,2,M,A,5,29.0521,3
1.43,.0301163586582334,0,0,0,SEDAN,2,F,B,4,2.0449,1
2.33,.229979466117584,0,0,0,MIBUS,3,F,C,3,5.4289,1
3.68,.347707049964811,0,0,0,UTE,1,F,E,2,13.5424,2
3.43,.317590691305668,0,0,0,STNWG,2,F,D,2,11.7649,2
1.13,.229979466117584,0,0,0,SEDAN,3,M,A,3,1.2769,1
2.65,.317590691305668,0,0,0,HDTOP,3,M,F,5,7.0225,2
1.98,.229979466117584,0,0,0,UTE,3,M,A,2,3.9204,1
.68,.249144421628444,0,0,0,HBACK,3,F,E,3,.4624,1
1.15,.665297741272298,0,0,0,SEDAN,3,M,C,4,1.3225,1
3.19,.9993155373013,0,0,0,HDTOP,3,M,F,4,10.1761,2
1.14,.344969199177285,0,0,0,SEDAN,3,M,C,4,1.2996,1
1.43,.219028062969301,0,0,0,SEDAN,2,F,C,4,2.0449,1
1.22,.777549623540835,0,0,0,HDTOP,4,F,D,2,1.4884,1
1.75,.243668720053392,0,0,0,SEDAN,2,M,A,4,3.0625,1
.38,.750171115672856,0,0,0,HBACK,4,F,A,2,.1444,1
4.7,.232717316905109,0,0,0,STNWG,2,M,D,2,22.09,2
2.66,.317590691305668,1,1,1105.76999855042,STNWG,1,F,F,5,7.0756,2
1.59,.229979466117584,0,0,0,SEDAN,1,F,A,1,2.5281,1
.54,.0273785078711626,0,0,0,SEDAN,4,M,A,4,.2916,1
.5,.0711841204652615,1,1,200,HBACK,4,F,A,5,.25,1
1.3,.229979466117584,0,0,0,HBACK,2,F,B,1,1.69,1
1.41,.0273785078711626,0,0,0,HBACK,2,F,C,4,1.9881,1
1.75,.317590691305668,0,0,0,HBACK,2,F,B,4,3.0625,1
2.29,.0301163586582334,0,0,0,UTE,2,M,C,2,5.2441,1
4.64,.221765913756826,0,0,0,STNWG,1,F,D,3,21.5296,2
.8,.276522929500061,0,0,0,HBACK,3,M,C,6,.64,1
3.55,.85147159479493,0,0,0,STNWG,2,F,C,3,12.6025,2
1.75,.317590691305668,0,0,0,HBACK,2,M,A,3,3.0625,1
1.48,.695414099929621,0,0,0,HBACK,2,F,B,2,2.1904,1
1.22,.394250513345071,0,0,0,HBACK,3,M,C,3,1.4884,1
3.14,.306639288155566,0,0,0,UTE,2,F,A,2,9.8596,2
1.51,.317590691305668,0,0,0,STNWG,4,M,A,4,2.2801,1
1.65,.722792607797601,0,0,0,SEDAN,3,M,C,4,2.7225,1
1.64,.317590691305668,0,0,0,UTE,2,M,C,4,2.6896,1
2.17,.344969199177285,0,0,0,STNWG,3,F,F,5,4.7089,1
1.31,.317590691305668,0,0,0,HBACK,2,M,B,2,1.7161,1
1.16,.596851471592856,1,2,739.229999542236,STNWG,4,F,B,2,1.3456,1
.77,.87885010266433,0,0,0,SEDAN,4,F,C,5,.5929,1
.43,.317590691305668,0,0,0,HBACK,4,F,B,3,.1849,1
4.98,.722792607797601,0,0,0,STNWG,1,M,F,5,24.8004,2
1.72,.906228610539983,0,0,0,SEDAN,2,F,D,6,2.9584,1
2.47,.670773442841892,0,0,0,HDTOP,3,M,D,2,6.1009,1
4.17,.722792607797601,0,0,0,STNWG,2,F,C,2,17.3889,2
1.13,.229979466117584,0,0,0,SEDAN,3,M,B,6,1.2769,1
.67,.0273785078711626,0,0,0,HBACK,4,F,A,5,.4489,1
3.56,.906228610539983,1,1,3230.59999847412,MCARA,3,M,F,4,12.6736,2
2.56,.317590691305668,0,0,0,STNWG,2,F,A,3,6.5536,2
1.36,.229979466117584,0,0,0,HBACK,1,F,C,5,1.8496,1
3.999,.9993155373013,0,0,0,SEDAN,1,M,C,1,15.992001,2
1.64,.0903490759747001,0,0,0,HBACK,2,F,A,4,2.6896,1
2.15,.654346338124014,1,1,200,SEDAN,3,F,A,5,4.6225,1
.89,.229979466117584,0,0,0,HBACK,3,M,C,2,.7921,1
3.03,.903490759752458,1,1,200,TRUCK,1,M,C,1,9.1809,2
2.41,.339493497601836,1,1,407.839999675751,STNWG,3,M,E,1,5.8081,1
.73,.769336071178259,0,0,0,SEDAN,4,M,E,5,.5329,1
.82,.462696783022295,0,0,0,HDTOP,4,F,F,1,.6724,1
1.39,.0930869267622256,0,0,0,SEDAN,3,M,A,2,1.9321,1
2.54,.344969199177285,0,0,0,HDTOP,3,M,C,5,6.4516,2
.76,.344969199177285,0,0,0,SEDAN,4,M,D,3,.5776,1
.41,.229979466117584,0,0,0,HBACK,4,M,A,5,.1681,1
3.599,.583162217655627,0,0,0,STNWG,1,F,B,3,12.952801,2
1.98,.306639288155168,0,0,0,SEDAN,3,F,A,3,3.9204,1
.76,.229979466117584,0,0,0,SEDAN,4,F,A,3,.5776,1
.53,.229979466117584,0,0,0,HBACK,4,F,B,3,.2809,1
1.86,.344969199177285,0,0,0,STNWG,2,F,B,4,3.4596,1
.22,.292950034221576,0,0,0,HBACK,4,M,C,6,.0484,1
1.65,.722792607797601,0,0,0,SEDAN,3,F,F,3,2.7225,1
1.33,.224503764543954,0,0,0,HBACK,3,F,A,6,1.7689,1
.85,.306639288155566,0,0,0,HBACK,3,F,A,3,.7225,1
1.97,.616016427098657,0,0,0,STNWG,3,M,D,5,3.8809,1
1.15,.0191649555097229,0,0,0,HBACK,4,F,A,4,1.3225,1
2.65,.290212183434051,0,0,0,SEDAN,1,M,A,5,7.0225,2
.45,.616016427098657,0,0,0,HBACK,4,F,B,6,.2025,1
.45,.616016427098657,0,0,0,HBACK,4,F,A,6,.2025,1
.67,.616016427098657,0,0,0,SEDAN,4,F,D,5,.4489,1
1.3,.648870636548963,0,0,0,HBACK,2,F,C,5,1.69,1
.59,.616016427098657,0,0,0,COUPE,4,F,A,4,.3481,1
1.55,.616016427098657,0,0,0,SEDAN,2,F,E,5,2.4025,1
1.56,.24640657084052,0,0,0,SEDAN,1,F,D,5,2.4336,1
.41,.616016427098657,0,0,0,SEDAN,4,F,A,5,.1681,1
1.72,.646132785761438,0,0,0,SEDAN,2,F,B,6,2.9584,1
.44,.616016427098657,0,0,0,SEDAN,4,M,D,6,.1936,1
2.58,.616016427098657,0,0,0,STNWG,3,M,D,6,6.6564,2
1.84,.229979466117584,0,0,0,PANVN,1,M,C,3,3.3856,1
.22,.616016427098657,0,0,0,HBACK,4,F,B,5,.0484,1
1.72,.616016427098657,1,1,1619.82999801636,STNWG,2,F,A,6,2.9584,1
3.05,.229979466117584,0,0,0,STNWG,2,F,F,2,9.3025,2
1.85,.336755646814709,0,0,0,SEDAN,1,F,D,5,3.4225,1
3.21,.616016427098657,0,0,0,STNWG,1,M,B,4,10.3041,2
.89,.616016427098657,0,0,0,STNWG,4,M,C,6,.7921,1
1.98,.383299110195367,0,0,0,SEDAN,2,M,A,2,3.9204,1
.52,.383299110195367,0,0,0,SEDAN,4,F,A,6,.2704,1
1.92,.616016427098657,1,1,1010.91999816895,STNWG,4,M,A,5,3.6864,1
1.15,.616016427098657,0,0,0,HBACK,3,F,C,2,1.3225,1
.5,.616016427098657,0,0,0,STNWG,4,F,C,3,.25,1
6.54,.229979466117584,0,0,0,STNWG,1,F,D,4,42.7716,3
5.14,.616016427098657,0,0,0,STNWG,1,M,B,6,26.4196,3
.67,.616016427098657,0,0,0,SEDAN,4,F,C,4,.4489,1
1.39,.383299110195367,0,0,0,SEDAN,3,M,C,2,1.9321,1
4.65,.383299110195367,0,0,0,STNWG,1,F,E,3,21.6225,2
1.43,.383299110195367,0,0,0,SEDAN,3,F,D,2,2.0449,1
.43,.383299110195367,0,0,0,SEDAN,4,F,C,2,.1849,1
1.02,.618754277886183,0,0,0,SEDAN,3,F,B,5,1.0404,1
1.51,.175222450376168,0,0,0,SEDAN,3,F,B,2,2.2801,1
2.649,.257357973987382,1,1,9424.34997558594,TRUCK,1,M,A,1,7.017201,2
1.31,.616016427098657,0,0,0,STNWG,4,M,D,3,1.7161,1
2.48,.424366872004214,0,0,0,STNWG,3,M,C,1,6.1504,1
1.74,.257357973986984,0,0,0,SEDAN,2,F,A,2,3.0276,1
1.62,.0930869267622256,0,0,0,STNWG,4,F,F,3,2.6244,1
5.43,.616016427098657,0,0,0,STNWG,1,F,C,3,29.4849,3
.65,.616016427098657,0,0,0,SEDAN,4,M,A,4,.4225,1
.35,.616016427098657,0,0,0,SEDAN,4,M,E,5,.1225,1
3.73,.616016427098657,0,0,0,STNWG,2,M,A,5,13.9129,2
1.61,.344969199177285,0,0,0,SEDAN,2,F,C,4,2.5921,1
.82,.616016427098657,0,0,0,HBACK,4,F,A,6,.6724,1
1.33,.616016427098657,0,0,0,TRUCK,4,M,F,1,1.7689,1
.78,.34223134838976,0,0,0,HBACK,3,F,C,4,.6084,1
3.98,.616016427098657,0,0,0,STNWG,2,F,C,2,15.8404,2
.95,.616016427098657,0,0,0,HDTOP,4,M,A,6,.9025,1
1.14,.383299110195367,0,0,0,SEDAN,4,F,B,3,1.2996,1
.53,.616016427098657,0,0,0,SEDAN,4,F,D,5,.2809,1
1.5,.616016427098657,0,0,0,STNWG,4,M,A,3,2.25,1
1.76,.616016427098657,0,0,0,STNWG,2,M,C,3,3.0976,1
1,.314852840518142,0,0,0,HBACK,2,M,B,4,1,1
1.22,.616016427098657,0,0,0,HBACK,3,M,A,4,1.4884,1
2.82,.383299110195367,0,0,0,STNWG,3,F,C,3,7.9524,2
2.13,.900752908964932,0,0,0,HDTOP,2,F,A,2,4.5369,1
1.01,.284736481858999,0,0,0,STNWG,4,M,B,6,1.0201,1
1.84,.616016427098657,0,0,0,SEDAN,2,F,A,6,3.3856,1
3.11,.383299110195367,0,0,0,TRUCK,3,M,C,3,9.6721,2
.39,.616016427098657,0,0,0,SEDAN,4,M,A,4,.1521,1
1.01,.0930869267622256,0,0,0,HBACK,3,F,E,1,1.0201,1
2.58,.616016427098657,0,0,0,STNWG,3,M,C,5,6.6564,2
.51,.616016427100021,0,0,0,SEDAN,4,F,A,4,.2601,1
1.02,.616016427098657,0,0,0,SEDAN,3,F,C,6,1.0404,1
1.63,.646132785762347,0,0,0,HBACK,2,F,C,5,2.6569,1
.84,.616016427098657,0,0,0,HBACK,3,F,C,4,.7056,1
2.34,.616016427098657,0,0,0,HBACK,3,M,C,5,5.4756,1
1.86,.616016427104114,1,1,238.640000343323,SEDAN,2,F,C,3,3.4596,1
7.2,.616016427098657,0,0,0,SEDAN,3,F,D,6,51.84,3
.46,.616016427098657,0,0,0,STNWG,4,F,A,4,.2116,1
1.66,.903490759752458,0,0,0,STNWG,3,F,A,3,2.7556,1
3.71,.766598220390733,0,0,0,STNWG,1,F,C,3,13.7641,2
1.62,.616016427098657,0,0,0,STNWG,4,F,F,3,2.6244,1
.58,.616016427098657,0,0,0,COUPE,4,F,B,4,.3364,1
3.06,.616016427098657,0,0,0,STNWG,3,F,F,4,9.3636,2
1.17,.769336071178259,0,0,0,SEDAN,3,F,D,1,1.3689,1
.98,.616016427098657,0,0,0,SEDAN,3,F,B,3,.9604,1
1.02,.616016427098657,0,0,0,HBACK,4,F,B,2,1.0404,1
1.4,.616016427098657,0,0,0,SEDAN,3,F,A,4,1.96,1
2.97,.0985626283363672,0,0,0,STNWG,1,M,F,4,8.8209,2
1.78,.618754277886183,0,0,0,SEDAN,2,F,C,2,3.1684,1
.41,.344969199177285,0,0,0,HBACK,4,F,B,3,.1681,1
2.74,.941820670770539,0,0,0,STNWG,2,M,C,3,7.5076,2
5.299,.383299110195367,0,0,0,STNWG,1,F,D,3,28.079401,3
1.42,.25462012320213,0,0,0,HBACK,1,M,C,3,2.0164,1
2.01,.616016427098657,0,0,0,HDTOP,3,M,E,5,4.0401,1
1.54,.616016427098657,1,1,200,STNWG,2,F,B,3,2.3716,1
4,.616016427098657,0,0,0,STNWG,2,F,A,4,16,2
1.3,.646132785762347,0,0,0,HBACK,2,M,C,4,1.69,1
1.34,.172484599588643,0,0,0,HBACK,2,F,B,3,1.7956,1
1.67,.383299110195367,0,0,0,STNWG,2,F,E,5,2.7889,1
1.88,.75017111566558,1,1,369.179999828339,PANVN,3,M,D,3,3.5344,1
1.03,.344969199177285,0,0,0,HBACK,3,F,D,4,1.0609,1
1.43,.229979466117584,0,0,0,TRUCK,4,M,D,1,2.0449,1
.89,.684462696779519,1,1,353.769999980927,SEDAN,3,F,D,3,.7921,1
1.13,.0930869267622256,0,0,0,STNWG,4,F,B,2,1.2769,1
1.9,.191649555097683,0,0,0,PANVN,3,M,C,5,3.61,1
2.11,.870636550302152,0,0,0,HBACK,2,F,C,3,4.4521,1
1.82,.750171115672856,0,0,0,UTE,1,M,D,4,3.3124,1
0,.999315537295843,0,0,0,BUS,3,M,F,5,0,1
3.03,.752908966460382,0,0,0,STNWG,1,M,D,3,9.1809,2
3.7,.416153319641637,0,0,0,STNWG,3,M,C,1,13.69,2
2.22,.391512662557545,0,0,0,HDTOP,3,F,C,2,4.9284,1
2.15,.646132785761438,0,0,0,SEDAN,3,F,A,4,4.6225,1
.58,.646132785761438,0,0,0,HBACK,4,M,A,3,.3364,1
1.53,.626967830248759,0,0,0,STNWG,4,M,A,4,2.3409,1
1.55,.646132785761438,0,0,0,HBACK,2,F,C,2,2.4025,1
1.12,.646132785761438,0,0,0,STNWG,4,M,A,3,1.2544,1
.48,.925393566045386,0,0,0,HBACK,4,F,A,6,.2304,1
1.67,.0930869267622256,0,0,0,TRUCK,1,M,B,2,2.7889,1
1.02,.643394934973912,0,0,0,HBACK,3,M,C,4,1.0404,1
1.64,.249144421628444,0,0,0,STNWG,4,M,C,3,2.6896,1
2.01,.555783709787249,0,0,0,TRUCK,3,M,F,5,4.0401,1
.85,.925393566045386,0,0,0,HBACK,3,F,B,4,.7225,1
1.42,.646132785761438,0,0,0,HBACK,1,F,C,6,2.0164,1
2.75,.249144421628444,0,0,0,STNWG,3,F,B,3,7.5625,2
1.66,.128678986993691,0,0,0,SEDAN,2,M,F,3,2.7556,1
1.66,.229979466117584,0,0,0,SEDAN,3,M,C,5,2.7556,1
1.18,.219028062969301,0,0,0,STNWG,4,F,B,3,1.3924,1
.95,.71731690622255,0,0,0,SEDAN,4,F,C,6,.9025,1
1.77,.643394934973912,0,0,0,SEDAN,2,M,C,4,3.1329,1
1.3,.720054757010075,0,0,0,HBACK,1,F,B,3,1.69,1
.65,.785763175903412,0,0,0,MIBUS,4,F,B,5,.4225,1
.73,.906228610539983,0,0,0,SEDAN,4,M,C,6,.5329,1
1.12,.50376454483154,0,0,0,HBACK,2,F,B,1,1.2544,1
.98,.229979466117584,0,0,0,HBACK,3,F,E,6,.9604,1
1.399,.769336071174621,0,0,0,HBACK,1,F,B,5,1.957201,1
1.31,.19986310746026,0,0,0,UTE,4,M,C,5,1.7161,1
1.76,.229979466117584,0,0,0,SEDAN,1,F,E,1,3.0976,1
1.42,.900752908961294,0,0,0,HBACK,1,F,C,3,2.0164,1
.41,.229979466117584,0,0,0,SEDAN,4,F,E,2,.1681,1
4,.229979466117584,0,0,0,STNWG,2,M,C,3,16,2
1.19,.0930869267622256,0,0,0,UTE,4,M,B,4,1.4161,1
.47,.750171115669218,0,0,0,HBACK,4,F,C,1,.2209,1
2.01,.0273785078711626,0,0,0,UTE,3,F,F,3,4.0401,1
1.55,.906228610539983,0,0,0,HDTOP,4,M,D,1,2.4025,1
1.45,.19986310746026,0,0,0,SEDAN,2,F,D,2,2.1025,1
1.2,.0930869267622256,0,0,0,HBACK,2,M,C,1,1.44,1
1.03,.229979466117584,0,0,0,STNWG,3,F,A,1,1.0609,1
1.89,.851471594796749,0,0,0,STNWG,2,F,A,6,3.5721,1
2,.301163586584153,0,0,0,SEDAN,1,M,B,4,4,1
1.73,.249144421628444,0,0,0,SEDAN,2,M,F,3,2.9929,1
1.07,.229979466117584,0,0,0,SEDAN,3,F,D,2,1.1449,1
2.72,.249144421628444,0,0,0,SEDAN,1,F,A,3,7.3984,2
3.22,.851471594796749,0,0,0,UTE,1,M,C,3,10.3684,2
.45,.235455167692635,0,0,0,COUPE,4,F,E,4,.2025,1
.48,.0520191649552544,0,0,0,SEDAN,4,F,C,6,.2304,1
1.22,.605065023955433,0,0,0,HBACK,3,M,C,4,1.4884,1
3.19,.999315537297775,0,0,0,HBACK,2,F,A,4,10.1761,2
2.79,.377823408623556,0,0,0,SEDAN,1,F,C,2,7.7841,2
.9,.851471594796749,0,0,0,SEDAN,4,M,A,2,.81,1
6.1,.249144421628444,0,0,0,SEDAN,1,M,C,5,37.21,3
4.46,.191649555099104,1,1,989.919998168945,COUPE,2,M,B,2,19.8916,2
4.56,.648870636548565,0,0,0,MIBUS,2,M,C,3,20.7936,2
1.48,.19986310746026,0,0,0,HBACK,1,F,C,5,2.1904,1
2.33,.851471594796749,0,0,0,SEDAN,2,M,C,5,5.4289,1
2.67,.249144421628444,0,0,0,STNWG,3,F,D,4,7.1289,2
1.59,.0273785078711626,0,0,0,SEDAN,2,F,A,3,2.5281,1
4.32,.646132785761438,1,1,736.849998474121,STNWG,2,M,A,5,18.6624,2
1.05,.539356605062494,0,0,0,HBACK,2,M,C,3,1.1025,1
1.06,.925393566045386,0,0,0,STNWG,3,M,E,4,1.1236,1
6.07,.249144421628444,0,0,0,STNWG,1,M,E,3,36.8449,3
5.59,.851471594796749,1,1,369.14999961853,STNWG,1,M,C,3,31.2481,3
1.44,.665297741266443,1,1,500,UTE,4,M,F,2,2.0736,1
1.41,.0739219712522754,0,0,0,HBACK,2,F,C,6,1.9881,1
.47,.19986310746026,0,0,0,SEDAN,4,M,A,3,.2209,1
1.84,.353182751539862,0,0,0,STNWG,4,F,B,4,3.3856,1
2.81,.851471594796749,1,1,353.769999980927,STNWG,1,M,C,3,7.8961,2
2.55,.249144421628444,0,0,0,SEDAN,1,F,C,5,6.5025,2
3.01,.848733744009223,0,0,0,STNWG,2,M,E,4,9.0601,2
1.6,.249144421628444,0,0,0,HBACK,2,F,D,4,2.56,1
1.59,.772073921965784,0,0,0,PANVN,3,F,D,5,2.5281,1
2.01,.646132785761438,0,0,0,HDTOP,3,F,D,2,4.0401,1
1.43,.646132785761438,0,0,0,STNWG,4,F,D,6,2.0449,1
.73,.402464065708045,0,0,0,SEDAN,4,F,B,3,.5329,1
.79,.235455167692635,0,0,0,SEDAN,4,F,C,4,.6241,1
1.49,.353182751539862,0,0,0,HBACK,2,F,C,4,2.2201,1
.67,.925393566045386,0,0,0,SEDAN,4,M,C,5,.4489,1
1.23,.772073921965784,0,0,0,HBACK,2,F,A,2,1.5129,1
1.67,.0273785078711626,0,0,0,SEDAN,2,F,E,6,2.7889,1
1.26,.355920602323749,0,0,0,HBACK,3,F,C,1,1.5876,1
3.75,.646132785761438,0,0,0,STNWG,2,F,E,3,14.0625,2
.34,.643394934973912,0,0,0,SEDAN,4,F,D,4,.1156,1
1.61,.353182751539862,0,0,0,HBACK,2,M,B,3,2.5921,1
1.41,.9993155373013,0,0,0,SEDAN,2,F,A,2,1.9881,1
2.95,.249144421628444,0,0,0,STNWG,1,F,D,6,8.7025,2
1.578,.851471594796749,0,0,0,HBACK,1,M,A,4,2.490084,1
1.12,.221765913756826,0,0,0,HBACK,2,F,B,3,1.2544,1
1.36,.0273785078711626,0,0,0,SEDAN,2,F,C,4,1.8496,1
.92,.249144421628444,0,0,0,HBACK,3,F,C,2,.8464,1
.73,.851471594796749,0,0,0,HBACK,3,F,C,1,.5329,1
1.22,.999315537297207,0,0,0,HBACK,3,F,E,6,1.4884,1
5.65,.104038329910509,0,0,0,STNWG,1,M,C,3,31.9225,3
3,.613278576311131,1,1,6372.0299987793,STNWG,3,F,C,2,9,2
.54,.227241615331877,0,0,0,HBACK,4,F,A,4,.2916,1
1.76,.19986310746026,0,0,0,HBACK,1,F,B,5,3.0976,1
1.07,.331279945242898,0,0,0,STNWG,4,M,B,3,1.1449,1
1.14,.145106091717025,0,0,0,UTE,4,M,A,2,1.2996,1
.2,.0958247775488417,0,0,0,HBACK,4,M,A,3,.04,1
1.51,.646132785761438,0,0,0,UTE,3,M,B,3,2.2801,1
2.29,.353182751539862,1,1,500,STNWG,4,F,F,4,5.2441,1
.39,.925393566045386,1,1,1379.03999710083,SEDAN,4,F,C,6,.1521,1
1.75,.221765913756826,0,0,0,HBACK,2,F,B,2,3.0625,1
1.31,.314852840518142,0,0,0,HBACK,2,F,A,1,1.7161,1
.47,.391512662557943,0,0,0,STNWG,4,F,D,3,.2209,1
1.09,.208076659821018,0,0,0,HBACK,3,F,C,3,1.1881,1
1.3,.249144421628444,0,0,0,HBACK,2,F,C,5,1.69,1
1.23,.772073921965784,0,0,0,HBACK,2,M,C,1,1.5129,1
1.9,.227241615331877,0,0,0,SEDAN,1,F,A,4,3.61,1
1.87,.851471594796749,0,0,0,HBACK,3,F,A,4,3.4969,1
1.17,.125941136207587,0,0,0,STNWG,4,M,C,3,1.3689,1
2.37,.643394934973912,0,0,0,MIBUS,3,M,C,3,5.6169,1
1.68,.224503764544352,0,0,0,HBACK,3,F,C,4,2.8224,1
1.83,.35318275153827,0,0,0,SEDAN,3,M,C,1,3.3489,1
1.29,.925393566045386,1,1,200,SEDAN,3,M,D,3,1.6641,1
.3,.229979466119005,0,0,0,HBACK,4,M,B,4,.09,1
1.52,.249144421628444,0,0,0,HBACK,3,F,A,3,2.3104,1
2.35,.643394934973912,0,0,0,COUPE,2,F,C,3,5.5225,1
.34,.213552361395671,0,0,0,HBACK,4,F,B,1,.1156,1
.99,.249144421628444,0,0,0,HBACK,2,F,E,5,.9801,1
1.84,.851471594796749,0,0,0,HBACK,2,F,A,4,3.3856,1
1.23,.851471594791292,0,0,0,HBACK,3,F,B,4,1.5129,1
2.03,.68993839835457,0,0,0,SEDAN,2,F,A,5,4.1209,1
1.51,.227241615331877,0,0,0,HDTOP,4,M,C,2,2.2801,1
